Date,Open,High,Low,Close,Volume
2010-05-18,12.15,12.18,11.45,11.54,101318746
2010-05-19,11.30,11.66,11.11,11.55,132864329
2010-05-20,11.04,11.30,10.76,10.8,156449148
2010-05-21,10.25,11.30,10.17,11.26,174455038
2010-05-24,11.29,11.44,11.01,11.01,91090354
2010-05-25,10.47,11.05,10.42,11.02,137858602
2010-05-26,11.45,11.82,11.35,11.39,146871969
2010-05-27,11.85,12.00,11.66,11.99,90700767
2010-05-28,12.05,12.08,11.62,11.73,78823399
2010-06-01,11.50,11.88,11.38,11.41,80977225
2010-06-02,11.66,11.87,11.45,11.85,87265270
2010-06-03,12.01,12.15,11.81,11.96,79568677
2010-06-04,11.69,11.88,11.39,11.5,83480811
2010-06-07,11.45,11.50,11.06,11.09,76228961
2010-06-08,11.14,11.37,10.89,11.22,81494388
2010-06-09,11.36,11.40,11.00,11.05,74947546
2010-06-10,11.21,11.40,11.10,11.39,64799501
2010-06-11,11.23,11.47,11.21,11.4,50280574
2010-06-14,11.48,11.72,11.40,11.46,58144434
2010-06-15,11.55,11.76,11.52,11.7,51790894
2010-06-16,11.65,11.77,11.50,11.63,61954013
2010-06-17,11.61,11.69,11.33,11.48,69430015
2010-06-18,11.56,11.62,11.40,11.46,55417627
2010-06-21,11.68,11.80,11.50,11.53,67814207
2010-06-22,11.54,11.60,11.18,11.22,73508927
2010-06-23,11.23,11.28,11.00,11.03,83134347
2010-06-24,10.99,11.03,10.64,10.78,74491022
2010-06-25,10.75,10.77,10.42,10.75,148168302
2010-06-28,10.72,10.76,10.43,10.43,58047664
2010-06-29,10.12,10.14,9.75,9.88,124866691
2010-06-30,10.10,10.52,10.04,10.08,182831251
2010-07-01,10.23,10.63,10.02,10.57,153382992
2010-07-02,10.58,10.63,10.15,10.28,71607036
2010-07-06,10.42,10.57,10.04,10.16,81246930
2010-07-07,10.21,10.63,10.17,10.59,72565217
2010-07-08,10.72,10.83,10.45,10.62,62355431
2010-07-09,10.58,10.94,10.54,10.85,50732694
2010-07-12,10.84,11.13,10.83,11.1,56354088
2010-07-13,11.47,11.81,11.26,11.66,103923173
2010-07-14,11.62,11.92,11.54,11.81,68051369
2010-07-15,11.86,11.90,11.51,11.86,66020324
2010-07-16,11.75,11.78,11.30,11.34,68905417
2010-07-19,11.44,11.57,11.23,11.48,49909940
2010-07-20,11.30,11.76,11.25,11.75,53134811
2010-07-21,11.82,11.88,11.43,11.55,67645077
2010-07-22,11.76,12.22,11.75,12.09,102031465
2010-07-23,12.55,12.75,12.35,12.72,161608161
2010-07-26,12.82,13.15,12.75,12.94,125629576
2010-07-27,13.16,13.18,12.85,13.03,97305386
2010-07-28,12.99,13.08,12.86,12.91,59746681
2010-07-29,13.03,13.11,12.72,12.97,88544652
2010-07-30,12.81,13.01,12.58,12.77,79539674
2010-08-02,13.06,13.20,12.94,13.16,77124699
2010-08-03,13.08,13.24,12.77,12.91,115202546
2010-08-04,13.00,13.21,12.95,13.11,60874915
2010-08-05,13.05,13.05,12.90,12.98,51574777
2010-08-06,12.83,13.05,12.80,13.04,54704554
2010-08-09,13.12,13.12,12.92,13.05,39071979
2010-08-10,12.94,13.03,12.80,12.92,50265042
2010-08-11,12.65,12.67,12.33,12.41,68132071
2010-08-12,12.03,12.39,11.90,12.27,68017892
2010-08-13,12.25,12.37,12.13,12.15,41635476
2010-08-16,11.96,12.15,11.88,11.99,59316046
2010-08-17,12.20,12.38,12.06,12.16,61043477
2010-08-18,12.17,12.29,11.80,12.2,54218032
2010-08-19,12.13,12.20,11.83,11.89,61058938
2010-08-20,11.85,11.90,11.60,11.77,50814381
2010-08-23,11.84,11.90,11.60,11.61,42449574
2010-08-24,11.28,11.49,11.09,11.24,86304094
2010-08-25,11.04,11.40,10.95,11.32,78587068
2010-08-26,11.40,11.56,11.14,11.17,56953578
2010-08-27,11.26,11.72,11.05,11.56,63568930
2010-08-30,11.58,11.68,11.35,11.35,33651452
2010-08-31,11.27,11.46,11.13,11.28,64987238
2010-09-01,11.53,11.89,11.46,11.61,81988740
2010-09-02,11.68,11.83,11.57,11.71,39943541
2010-09-03,11.88,12.14,11.84,12.07,65243857
2010-09-07,12.01,12.07,11.78,11.8,42497553
2010-09-08,11.81,11.95,11.70,11.8,40798682
2010-09-09,11.96,12.04,11.64,11.75,48528444
2010-09-10,11.81,11.98,11.75,11.79,37858737
2010-09-13,11.93,12.00,11.84,11.99,36689671
2010-09-14,11.96,12.05,11.89,11.98,39772203
2010-09-15,11.93,11.96,11.76,11.87,54102615
2010-09-16,12.12,12.53,12.10,12.44,141408427
2010-09-17,12.53,12.54,12.34,12.49,68954533
2010-09-20,12.55,12.60,12.38,12.57,49864507
2010-09-21,12.53,12.75,12.51,12.55,59130813
2010-09-22,12.43,12.54,12.29,12.38,53190343
2010-09-23,12.26,12.45,12.15,12.31,46873328
2010-09-24,12.42,12.57,12.38,12.56,42647786
2010-09-27,12.57,12.60,12.46,12.48,28805227
2010-09-28,12.48,12.53,12.27,12.52,42674616
2010-09-29,12.45,12.50,12.28,12.33,45211770
2010-09-30,12.44,12.46,12.20,12.24,42679587
2010-10-01,12.35,12.41,12.12,12.26,54565409
2010-10-04,12.57,12.92,12.53,12.84,95949136
2010-10-05,13.00,13.07,12.92,13.01,74701900
2010-10-06,13.06,13.45,13.04,13.24,92325959
2010-10-07,13.32,13.38,13.19,13.32,53526635
2010-10-08,13.30,13.72,13.28,13.66,71857622
2010-10-11,13.72,13.90,13.68,13.78,48002802
2010-10-12,13.71,13.85,13.51,13.78,50056386
2010-10-13,13.90,13.91,13.64,13.64,59061809
2010-10-14,13.88,14.01,13.78,13.91,78814036
2010-10-15,14.00,14.04,13.61,13.8,61337649
2010-10-18,13.75,13.90,13.64,13.88,34938390
2010-10-19,13.63,13.64,13.18,13.32,84613958
2010-10-20,13.45,13.73,13.35,13.64,60800122
2010-10-21,13.78,14.16,13.66,13.81,85364910
2010-10-22,13.86,14.01,13.83,13.95,38003004
2010-10-25,14.05,14.20,14.01,14.15,77370708
2010-10-26,13.97,14.47,13.76,14.36,214814344
2010-10-27,14.34,14.35,14.09,14.23,81025687
2010-10-28,14.29,14.32,14.06,14.22,51719343
2010-10-29,14.18,14.23,14.10,14.13,52281827
2010-11-01,14.32,14.37,14.16,14.23,56605930
2010-11-02,14.32,14.46,14.22,14.43,54691083
2010-11-03,14.48,15.20,14.44,15.18,185668472
2010-11-04,15.51,15.98,15.40,15.86,193231920
2010-11-05,15.98,16.26,15.81,16.21,141539803
2010-11-08,16.36,16.49,16.06,16.41,127385974
2010-11-09,16.53,16.58,15.88,16.07,133717281
2010-11-10,16.32,16.71,16.08,16.63,139738159
2010-11-11,16.54,16.66,16.20,16.61,94746122
2010-11-12,16.46,16.53,16.04,16.3,91657062
2010-11-15,16.81,17.41,16.68,17.0,233268384
2010-11-16,17.19,17.42,16.36,16.51,234693760
2010-11-17,16.76,16.90,16.52,16.68,127748531
2010-11-18,16.77,16.87,16.05,16.12,256937875
2010-11-19,16.02,16.38,15.83,16.28,130323560
2010-11-22,16.26,16.54,16.11,16.2,91288839
2010-11-23,16.01,16.16,15.62,15.7,96689061
2010-11-24,15.95,16.06,15.81,15.95,66919029
2010-11-26,15.81,16.18,15.75,16.1,31557182
2010-11-29,16.12,16.12,15.86,16.06,61577444
2010-11-30,15.92,15.99,15.83,15.94,71737337
2010-12-01,16.24,16.50,16.14,16.46,100724326
2010-12-02,16.72,16.86,16.63,16.78,82484417
2010-12-03,16.63,16.83,16.60,16.8,67399413
2010-12-06,16.66,16.78,16.52,16.65,57290297
2010-12-07,16.91,16.92,16.55,16.56,64104224
2010-12-08,16.66,16.73,16.35,16.69,106699902
2010-12-09,16.82,16.85,16.66,16.76,47280901
2010-12-10,16.68,16.77,16.65,16.73,38195991
2010-12-13,16.65,16.72,16.47,16.47,53899674
2010-12-14,16.50,16.58,16.39,16.42,43069921
2010-12-15,16.37,16.66,16.35,16.55,44901192
2010-12-16,16.52,16.77,16.44,16.77,49567513
2010-12-17,16.76,16.85,16.68,16.8,51948040
2010-12-20,16.85,16.90,16.63,16.85,41879929
2010-12-21,16.89,17.00,16.84,16.99,35603998
2010-12-22,17.00,17.03,16.85,16.99,31602612
2010-12-23,16.90,16.93,16.75,16.78,25767159
2010-12-27,16.72,16.87,16.60,16.87,27710072
2010-12-28,16.83,16.85,16.65,16.73,28413190
2010-12-29,16.67,16.80,16.65,16.74,25556654
2010-12-30,16.72,16.85,16.65,16.69,24055098
2010-12-31,16.65,16.83,16.61,16.79,22425965
2011-01-03,17.02,17.31,17.00,17.25,70794151
2011-01-04,17.39,17.66,16.96,17.38,106477140
2011-01-05,17.31,18.09,17.22,17.89,112377964
2011-01-06,18.03,18.29,17.95,18.22,96284315
2011-01-07,18.42,18.42,18.08,18.27,99029495
2011-01-10,18.42,18.49,18.16,18.31,65348361
2011-01-11,18.48,18.49,18.13,18.28,61312456
2011-01-12,18.36,18.75,18.29,18.71,66841388
2011-01-13,18.81,18.97,18.55,18.68,100531394
2011-01-14,18.61,18.75,18.58,18.65,50279320
2011-01-18,18.66,18.77,18.61,18.7,39737433
2011-01-19,18.71,18.72,17.77,17.9,89216412
2011-01-20,17.77,18.00,17.35,17.78,93501514
2011-01-21,17.99,18.11,17.87,17.95,48717631
2011-01-24,18.02,18.02,17.75,17.93,51698556
2011-01-25,17.86,18.02,17.66,17.89,47155738
2011-01-26,17.97,18.43,17.90,18.37,66834054
2011-01-27,18.52,18.88,18.33,18.79,67711652
2011-01-28,17.79,17.88,15.98,16.27,480879432
2011-01-31,16.56,16.64,15.45,15.95,275198179
2011-02-01,16.14,16.24,15.85,15.89,178894220
2011-02-02,15.91,15.98,15.31,15.4,187008426
2011-02-03,15.38,15.78,15.10,15.76,153131241
2011-02-04,15.91,15.95,15.64,15.72,79198641
2011-02-07,15.84,16.36,15.80,16.11,118132832
2011-02-08,16.17,16.26,16.02,16.24,59674450
2011-02-09,16.13,16.30,16.02,16.09,61896699
2011-02-10,15.99,16.11,15.90,15.95,65334899
2011-02-11,16.06,16.51,15.99,16.38,94736828
2011-02-14,16.38,16.39,16.02,16.09,69632700
2011-02-15,16.03,16.16,15.95,16.1,51612779
2011-02-16,16.16,16.18,16.00,16.05,59843528
2011-02-17,16.01,16.03,15.83,15.97,53727532
2011-02-18,15.95,15.99,15.70,15.77,68773960
2011-02-22,15.36,15.52,15.08,15.23,97449876
2011-02-23,15.02,15.04,14.49,14.86,159528736
2011-02-24,14.56,14.99,14.50,14.7,120283515
2011-02-25,14.94,15.11,14.85,15.07,78341802
2011-02-28,15.29,15.29,14.89,15.05,54120693
2011-03-01,15.10,15.12,14.60,14.66,74339127
2011-03-02,14.66,14.89,14.62,14.66,67126967
2011-03-03,14.90,14.95,14.66,14.76,66722161
2011-03-04,14.79,14.79,14.28,14.42,81624975
2011-03-07,14.34,14.42,13.98,14.01,105402075
2011-03-08,14.02,14.55,14.01,14.47,106709696
2011-03-09,14.59,14.60,14.25,14.29,68056849
2011-03-10,14.10,14.28,14.01,14.06,107253551
2011-03-11,13.90,14.46,13.87,14.36,72258870
2011-03-14,14.47,14.64,14.20,14.3,65186535
2011-03-15,13.80,14.80,13.75,14.67,108984897
2011-03-16,14.73,14.79,13.89,14.18,127903799
2011-03-17,14.56,14.58,14.18,14.26,78692268
2011-03-18,14.58,14.67,14.43,14.49,64591395
2011-03-21,14.70,14.72,14.48,14.59,46489639
2011-03-22,14.52,14.57,14.32,14.34,44832909
2011-03-23,14.26,14.45,14.02,14.31,64447276
2011-03-24,14.40,15.12,14.39,15.04,128208211
2011-03-25,15.20,15.20,14.90,15.01,58966447
2011-03-28,14.99,15.09,14.83,14.86,41290304
2011-03-29,14.83,14.94,14.73,14.84,33304615
2011-03-30,14.88,14.97,14.74,14.86,40931267
2011-03-31,14.82,14.95,14.71,14.91,41975807
2011-04-01,15.03,15.42,14.92,15.16,116309235
2011-04-04,15.39,15.74,15.39,15.55,99126393
2011-04-05,15.65,15.81,15.55,15.79,72461668
2011-04-06,15.91,15.98,15.61,15.73,62322453
2011-04-07,15.71,15.82,15.45,15.53,51336115
2011-04-08,15.65,15.68,15.16,15.33,51197794
2011-04-11,15.27,15.40,14.74,14.86,85631643
2011-04-12,14.59,15.00,14.50,14.91,82765424
2011-04-13,15.04,15.05,14.80,14.98,58745733
2011-04-14,14.74,14.85,14.61,14.81,62386526
2011-04-15,14.86,14.90,14.61,14.71,47501401
2011-04-18,14.51,14.74,14.48,14.62,49845385
2011-04-19,14.65,14.79,14.54,14.66,33587928
2011-04-20,14.95,15.20,14.84,15.09,71006212
2011-04-21,15.23,15.45,15.10,15.43,53198776
2011-04-25,15.51,15.59,15.35,15.54,54777113
2011-04-26,16.04,16.18,15.66,15.66,166852661
2011-04-27,15.85,15.87,15.42,15.58,84395991
2011-04-28,15.47,15.70,15.42,15.5,48148279
2011-04-29,15.49,15.68,15.40,15.47,40215803
2011-05-02,15.52,15.69,15.41,15.45,42187417
2011-05-03,15.42,15.56,15.26,15.38,68681528
2011-05-04,15.42,15.45,14.97,15.15,71777920
2011-05-05,14.97,15.30,14.88,15.08,62569512
2011-05-06,15.26,15.37,15.08,15.11,58410707
2011-05-09,15.12,15.20,15.02,15.08,33380688
2011-05-10,15.13,15.20,15.08,15.15,36654647
2011-05-11,15.11,15.35,15.06,15.15,55013859
2011-05-12,15.14,15.34,15.12,15.26,48857713
2011-05-13,15.22,15.30,15.03,15.08,43326601
2011-05-16,15.21,15.32,15.10,15.13,51708487
2011-05-17,15.06,15.18,14.82,14.97,65269787
2011-05-18,15.01,15.16,14.87,15.12,41282699
2011-05-19,15.10,15.17,15.01,15.12,38719619
2011-05-20,15.05,15.11,14.96,15.0,39287519
2011-05-23,14.70,14.93,14.65,14.8,49541838
2011-05-24,14.84,14.85,14.56,14.66,48890244
2011-05-25,14.54,14.66,14.35,14.58,93974517
2011-05-26,14.51,14.60,14.40,14.56,45970450
2011-05-27,14.55,14.64,14.46,14.6,35654133
2011-05-31,14.75,14.92,14.64,14.92,66438849
2011-06-01,14.78,14.90,14.20,14.23,91509302
2011-06-02,14.26,14.36,14.08,14.18,58588036
2011-06-03,13.88,14.22,13.81,14.01,57295847
2011-06-06,13.99,14.12,13.86,13.91,54183566
2011-06-07,14.17,14.19,13.94,13.95,73293864
2011-06-08,13.96,14.01,13.65,13.7,77161619
2011-06-09,13.74,13.87,13.58,13.8,55365380
2011-06-10,13.68,13.74,13.33,13.35,96683964
2011-06-13,13.14,13.26,12.78,13.14,110748300
2011-06-14,13.29,13.56,13.25,13.43,61363130
2011-06-15,13.30,13.36,13.05,13.15,88736541
2011-06-16,13.05,13.18,12.68,12.83,91842138
2011-06-17,12.94,12.95,12.68,12.77,81066976
2011-06-20,12.66,13.03,12.65,12.94,51392723
2011-06-21,13.08,13.53,13.04,13.32,72508028
2011-06-22,13.39,13.50,13.33,13.36,42589488
2011-06-23,13.12,13.50,13.06,13.47,59361890
2011-06-24,13.52,13.60,13.14,13.24,82743569
2011-06-27,13.35,13.55,13.08,13.46,50006278
2011-06-28,13.55,13.55,13.25,13.33,54017533
2011-06-29,13.41,13.51,13.32,13.42,54119696
2011-06-30,13.46,13.97,13.36,13.79,74123979
2011-07-01,13.92,14.13,13.73,14.02,66311147
2011-07-05,14.07,14.18,13.91,14.1,47019360
2011-07-06,14.13,14.13,13.89,13.96,46235125
2011-07-07,14.13,14.22,13.90,14.12,66182741
2011-07-08,13.86,13.90,13.61,13.88,68554677
2011-07-11,13.64,13.69,13.26,13.32,61376128
2011-07-12,13.13,13.38,13.12,13.12,57768853
2011-07-13,13.30,13.43,13.23,13.27,44328129
2011-07-14,13.33,13.40,13.04,13.09,45988916
2011-07-15,13.14,13.20,13.00,13.09,41225026
2011-07-18,13.02,13.06,12.63,12.9,66084747
2011-07-19,13.00,13.18,12.86,13.09,53892574
2011-07-20,13.19,13.19,12.92,13.08,33450613
2011-07-21,13.16,13.32,13.08,13.28,43706220
2011-07-22,13.29,13.34,13.15,13.31,26480521
2011-07-25,13.04,13.24,13.01,13.17,45334208
2011-07-26,13.30,13.44,12.85,12.94,109165793
2011-07-27,12.80,12.85,12.30,12.37,113808513
2011-07-28,12.40,12.65,12.30,12.32,69884577
2011-07-29,12.11,12.42,12.00,12.21,68621558
2011-08-01,12.75,12.81,12.21,12.35,73793512
2011-08-02,12.28,12.35,11.82,11.85,97171075
2011-08-03,11.92,11.92,11.36,11.65,127291409
2011-08-04,11.49,11.51,10.77,10.86,153368729
2011-08-05,11.05,11.23,10.32,10.84,139254160
2011-08-08,10.02,10.90,9.87,9.93,80275677
2011-08-09,10.50,10.95,10.13,10.91,177330887
2011-08-10,10.82,10.87,10.32,10.41,119886418
2011-08-11,10.48,11.12,10.43,10.94,114926740
2011-08-12,11.29,11.31,11.00,11.06,79279260
2011-08-15,11.29,11.37,11.17,11.35,46295976
2011-08-16,11.23,11.45,11.05,11.22,53398182
2011-08-17,11.34,11.40,10.92,11.11,52261955
2011-08-18,10.67,10.70,10.22,10.38,87187860
2011-08-19,10.05,10.45,9.90,9.99,87207193
2011-08-22,10.39,10.39,9.81,10.01,73424426
2011-08-23,10.16,10.32,10.01,10.31,52107590
2011-08-24,10.31,10.46,10.13,10.45,53035499
2011-08-25,10.53,10.72,10.22,10.28,50165968
2011-08-26,10.18,10.53,10.06,10.4,59398645
2011-08-29,10.64,10.95,10.61,10.93,48857873
2011-08-30,10.87,10.96,10.64,10.87,50354267
2011-08-31,11.03,11.30,10.98,11.12,69283535
2011-09-01,11.14,11.27,10.81,10.85,64030914
2011-09-02,10.53,10.68,10.26,10.42,62020998
2011-09-06,10.02,10.27,10.00,10.22,65565561
2011-09-07,10.44,10.58,10.32,10.56,45052705
2011-09-08,10.49,10.64,10.27,10.34,45105413
2011-09-09,10.11,10.29,9.98,10.05,69911239
2011-09-12,9.86,10.14,9.85,10.11,58351992
2011-09-13,10.16,10.23,10.00,10.17,44205212
2011-09-14,10.25,10.50,10.04,10.32,70810171
2011-09-15,10.45,10.64,10.32,10.63,53843175
2011-09-16,10.62,10.69,10.35,10.62,46859485
2011-09-19,10.34,10.62,10.30,10.54,41663812
2011-09-20,10.61,10.65,10.41,10.42,37706895
2011-09-21,10.40,10.51,9.97,9.97,62309204
2011-09-22,9.79,10.14,9.43,9.62,115851051
2011-09-23,9.46,9.98,9.32,9.86,70702512
2011-09-26,9.96,10.09,9.70,10.08,54424782
2011-09-27,10.32,10.35,10.09,10.12,65062161
2011-09-28,10.18,10.22,9.90,9.93,43567629
2011-09-29,10.14,10.15,9.75,10.0,52634778
2011-09-30,9.89,10.01,9.65,9.67,56819921
2011-10-03,9.66,9.92,9.36,9.37,72828062
2011-10-04,9.22,10.13,9.05,10.08,103876086
2011-10-05,10.06,10.59,9.83,10.56,96318030
2011-10-06,10.61,11.00,10.56,10.99,86277475
2011-10-07,11.04,11.20,10.63,10.69,87812390
2011-10-10,10.93,11.23,10.90,11.21,57668189
2011-10-11,11.17,11.29,11.02,11.24,61331924
2011-10-12,11.40,11.80,11.38,11.38,82907451
2011-10-13,11.39,11.46,11.04,11.34,60021259
2011-10-14,11.58,11.67,11.34,11.56,54535671
2011-10-17,11.71,11.76,11.32,11.4,53715553
2011-10-18,11.41,11.93,11.27,11.78,66804196
2011-10-19,11.77,11.92,11.46,11.56,69510092
2011-10-20,11.66,11.75,11.47,11.7,62145692
2011-10-21,11.86,12.32,11.84,12.26,86635929
2011-10-24,12.31,12.65,12.30,12.51,68986825
2011-10-25,12.58,12.59,12.14,12.43,77049052
2011-10-26,12.09,12.20,11.54,11.87,159678574
2011-10-27,12.29,12.29,11.71,11.97,132558720
2011-10-28,11.97,12.07,11.86,12.0,60363193
2011-10-31,11.80,11.91,11.68,11.68,41740335
2011-11-01,11.33,11.39,11.03,11.08,108259896
2011-11-02,11.26,11.28,11.04,11.15,52811744
2011-11-03,11.29,11.39,11.02,11.32,57802143
2011-11-04,11.28,11.39,11.12,11.27,43133079
2011-11-07,11.20,11.30,11.06,11.22,39924288
2011-11-08,11.27,11.68,11.18,11.61,60893327
2011-11-09,11.20,11.38,10.98,11.04,72025962
2011-11-10,11.17,11.19,10.90,10.99,50555142
2011-11-11,11.15,11.18,11.05,11.14,32872316
2011-11-14,11.12,11.16,10.98,11.02,30530087
2011-11-15,10.93,11.00,10.82,10.87,43972803
2011-11-16,10.80,10.82,10.50,10.56,49001246
2011-11-17,10.54,10.56,10.07,10.17,69670657
2011-11-18,10.28,10.30,10.07,10.1,44421981
2011-11-21,9.99,10.12,9.80,10.05,60890045
2011-11-22,10.02,10.15,9.90,10.09,43750609
2011-11-23,9.97,10.04,9.83,9.83,44979279
2011-11-25,9.81,9.95,9.75,9.75,20118455
2011-11-28,10.15,10.19,9.90,10.0,57953210
2011-11-29,10.03,10.13,9.92,9.99,40449900
2011-11-30,10.33,10.60,10.17,10.6,66922269
2011-12-01,10.51,10.81,10.41,10.59,61396936
2011-12-02,10.79,11.10,10.75,10.9,67252566
2011-12-05,11.16,11.42,11.02,11.11,65924650
2011-12-06,11.10,11.19,11.00,11.05,39786084
2011-12-07,11.00,11.15,10.88,11.08,45168739
2011-12-08,10.96,11.11,9.84,10.75,82552211
2011-12-09,10.94,11.11,10.87,11.03,48326563
2011-12-12,10.87,10.89,10.68,10.85,40785391
2011-12-13,10.92,11.04,10.36,10.48,67905531
2011-12-14,10.33,10.41,10.10,10.15,53224204
2011-12-15,10.31,10.42,10.19,10.25,46640203
2011-12-16,10.32,10.40,10.16,10.25,45999138
2011-12-19,10.25,10.39,9.99,10.02,45068191
2011-12-20,10.21,10.38,10.18,10.33,45235037
2011-12-21,10.38,10.74,10.33,10.66,56203034
2011-12-22,10.78,10.98,10.66,10.94,43983068
2011-12-23,10.99,11.00,10.79,10.95,26952969
2011-12-27,10.87,10.98,10.76,10.81,25444771
2011-12-28,10.82,10.84,10.43,10.52,33450929
2011-12-29,10.56,10.75,10.50,10.68,34317002
2011-12-30,10.64,10.79,10.60,10.76,26815770
2012-01-03,11.00,11.25,10.99,11.13,45709811
2012-01-04,11.15,11.53,11.07,11.3,79725188
2012-01-05,11.33,11.63,11.24,11.59,67877467
2012-01-06,11.74,11.80,11.52,11.71,59840605
2012-01-09,11.83,11.95,11.70,11.8,53981467
2012-01-10,12.00,12.05,11.63,11.8,121750545
2012-01-11,11.74,12.18,11.65,12.07,63806007
2012-01-12,12.16,12.18,11.89,12.14,48687666
2012-01-13,12.01,12.08,11.84,12.04,46388677
2012-01-17,12.20,12.26,11.96,12.02,44398472
2012-01-18,12.03,12.37,12.00,12.34,47102604
2012-01-19,12.48,12.72,12.43,12.61,70894167
2012-01-20,12.55,12.64,12.45,12.59,43705665
